,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
696658,HCM,20170412,6.6833,6.6933,6.5228,6.5228,761690
696949,HCM,20170411,6.884,6.9041,6.6933,6.6934,611990
697269,HCM,20170410,6.7134,6.8539,6.7134,6.8239,319810
697495,HCM,20170407,6.7435,6.8037,6.6733,6.7436,549250
697826,HCM,20170405,6.7736,6.9141,6.7435,6.7436,1721700
698115,HCM,20170404,6.7235,6.7235,6.5228,6.6031,420380
698302,HCM,20170403,6.5228,6.7034,6.5027,6.6834,863850
698618,HCM,20170331,6.4124,6.5629,6.4023,6.5028,510120
698917,HCM,20170330,6.4525,6.4826,6.4023,6.4124,224680
699200,HCM,20170329,6.4826,6.5228,6.3622,6.4024,240400
699436,HCM,20170328,6.5629,6.5729,6.4826,6.4827,176530
699705,HCM,20170327,6.4425,6.5629,6.4324,6.563,481560
700007,HCM,20170324,6.5027,6.5228,6.4224,6.4325,227710
700297,HCM,20170323,6.4023,6.5027,6.3823,6.4827,476650
700542,HCM,20170322,6.5729,6.5729,6.4023,6.4225,954310
700867,HCM,20170321,6.5428,6.593,6.4625,6.573,474970
701127,HCM,20170320,6.603,6.6632,6.5428,6.5429,674300
701388,HCM,20170317,6.583,6.6632,6.4826,6.4827,1240420
701683,HCM,20170316,6.2819,6.5228,6.2719,6.5228,1117730
701922,HCM,20170315,6.302,6.3321,6.2518,6.3021,468630
702209,HCM,20170314,6.3221,6.3522,6.2618,6.3121,402760
702514,HCM,20170313,6.3221,6.3221,6.2217,6.3121,407110
702814,HCM,20170310,6.3321,6.4425,6.302,6.3322,636730
703073,HCM,20170309,6.2016,6.4023,6.2016,6.3422,979420
703364,HCM,20170308,6.1414,6.3221,6.1113,6.2017,586700
703624,HCM,20170307,6.1916,6.1916,6.1113,6.1716,404220
703866,HCM,20170306,6.1515,6.1816,6.1013,6.1716,452820
704167,HCM,20170303,6.0611,6.2217,6.0611,6.1515,448800
704425,HCM,20170302,6.2016,6.2618,6.1013,6.1114,398420
704702,HCM,20170301,6.2418,6.2618,5.9809,6.1415,1153780
704968,HCM,20170228,6.3823,6.5027,6.2618,6.2619,572950
705259,HCM,20170227,6.2919,6.3923,6.1816,6.292,470870
705554,HCM,20170224,6.4124,6.4124,6.2317,6.2418,644500
705806,HCM,20170223,6.3622,6.4425,6.2618,6.3623,677270
706106,HCM,20170222,6.2919,6.4726,6.2418,6.3322,945040
706373,HCM,20170221,6.3622,6.4625,6.2618,6.2619,697900
706649,HCM,20170220,6.0912,6.3622,6.0611,6.3623,1238500
706890,HCM,20170217,6.0009,6.1013,5.9809,6.0411,622180
707171,HCM,20170216,6.1214,6.2016,5.9909,6.001,635380
707464,HCM,20170215,6.1715,6.1715,6.0812,6.1214,698160
707728,HCM,20170214,6.1615,6.2618,6.0812,6.1515,736400
707989,HCM,20170213,5.9207,6.1816,5.9207,6.1415,1076580
708266,HCM,20170210,5.8705,5.9508,5.8604,5.8906,451090
708546,HCM,20170209,5.9407,5.9407,5.8705,5.8705,337300
708802,HCM,20170208,5.9608,5.9608,5.8705,5.9408,625880
709086,HCM,20170207,5.7501,5.9608,5.7501,5.9308,1172960
709316,HCM,20170206,5.6597,5.7902,5.6196,5.7501,573090
709624,HCM,20170203,5.6597,5.72,5.6497,5.6598,409190
709853,HCM,20170202,5.6397,5.6597,5.5995,5.6297,211270
710133,HCM,20170125,5.6397,5.6397,5.5795,5.6297,162550
710404,HCM,20170124,5.4791,5.5995,5.4791,5.5996,166820
710704,HCM,20170123,5.5795,5.5795,5.459,5.4792,344300
710984,HCM,20170120,5.5995,5.6196,5.5795,5.5795,324850
711202,HCM,20170119,5.5995,5.6497,5.5995,5.6096,105700
711420,HCM,20170118,5.6597,5.72,5.6397,5.6397,310060
711737,HCM,20170117,5.6196,5.6597,5.5995,5.6397,249490
711957,HCM,20170116,5.6999,5.7099,5.5995,5.6197,244280
712255,HCM,20170113,5.6597,5.8002,5.6597,5.71,511440
712515,HCM,20170112,5.6196,5.6999,5.6196,5.6598,261490
712765,HCM,20170111,5.6397,5.6497,5.5795,5.5896,325640
713029,HCM,20170110,5.6999,5.6999,5.5795,5.6197,301890
713296,HCM,20170109,5.72,5.74,5.6999,5.7,173140
713513,HCM,20170106,5.6798,5.8002,5.6798,5.72,520450
713780,HCM,20170105,5.6397,5.7601,5.6397,5.6698,339230
714054,HCM,20170104,5.6597,5.7099,5.6096,5.6397,314000
714325,HCM,20170103,5.6798,5.6798,5.459,5.6799,407900
714581,HCM,20161230,5.5193,5.5193,5.459,5.4591,178080
714889,HCM,20161229,5.4891,5.5694,5.4691,5.4993,263070
715166,HCM,20161228,5.439,5.4791,5.439,5.4691,131830
715372,HCM,20161227,5.459,5.4891,5.4289,5.4591,231430
715673,HCM,20161226,5.3978,5.4372,5.3683,5.3888,246720
715914,HCM,20161223,5.3978,5.3978,5.319,5.3395,208700
716197,HCM,20161222,5.516,5.5357,5.3978,5.3986,274980
716455,HCM,20161221,5.4766,5.5456,5.4668,5.4971,216460
716714,HCM,20161220,5.5357,5.5554,5.4766,5.4774,316030
716970,HCM,20161219,5.319,5.5751,5.2895,5.5759,870080
717251,HCM,20161216,5.2205,5.3387,5.2205,5.2902,337140
717474,HCM,20161215,5.2107,5.2205,5.122,5.2114,162780
717766,HCM,20161214,5.0432,5.2107,5.0432,5.2114,120610
718009,HCM,20161213,5.0826,5.122,5.0432,5.044,385530
718313,HCM,20161212,4.9644,5.0432,4.9644,5.0341,267710
718541,HCM,20161209,5.0432,5.0826,5.0038,5.044,300190
718792,HCM,20161208,5.1614,5.1614,5.0432,5.044,120230
719063,HCM,20161207,5.0925,5.1811,5.0826,5.1031,271450
719368,HCM,20161206,5.2107,5.2205,5.122,5.1228,341220
719619,HCM,20161205,5.2895,5.2895,5.2205,5.2213,375470
719852,HCM,20161202,5.2599,5.2993,5.2501,5.2902,89730
720130,HCM,20161201,5.319,5.3387,5.2599,5.2607,220610
720394,HCM,20161130,5.2205,5.2796,5.2205,5.2804,147390
720661,HCM,20161129,5.2205,5.2501,5.2008,5.2213,194630
720947,HCM,20161128,5.2993,5.2993,5.1811,5.2213,188590
721175,HCM,20161125,5.3289,5.3289,5.2698,5.2902,131650
721427,HCM,20161124,5.319,5.3584,5.2698,5.2705,189860
721683,HCM,20161123,5.3486,5.3683,5.319,5.3198,130510
721978,HCM,20161122,5.2796,5.3486,5.2796,5.3395,269500
722207,HCM,20161121,5.2796,5.2993,5.2402,5.2804,187180
722494,HCM,20161118,5.2993,5.2993,5.2205,5.2705,138360
722740,HCM,20161117,5.3387,5.3486,5.2895,5.3001,109660
723035,HCM,20161116,5.3289,5.3781,5.3092,5.3395,190730
723256,HCM,20161115,5.2501,5.3289,5.2501,5.3001,125960
723548,HCM,20161114,5.2599,5.2698,5.2402,5.2508,178020
723856,HCM,20161111,5.3387,5.3584,5.2599,5.2607,256510
724109,HCM,20161110,5.3781,5.3781,5.2599,5.3592,273360
724335,HCM,20161109,5.319,5.319,5.0235,5.2607,613210
724598,HCM,20161108,5.3584,5.4077,5.319,5.3592,209000
724867,HCM,20161107,5.2599,5.3387,5.2205,5.3198,162260
725104,HCM,20161104,5.3092,5.3092,5.2205,5.2213,242680
725424,HCM,20161103,5.3781,5.3781,5.2107,5.3001,443320
725637,HCM,20161102,5.4766,5.516,5.4175,5.4183,184270
725888,HCM,20161101,5.516,5.5554,5.4963,5.507,96930
726163,HCM,20161031,5.516,5.585,5.4963,5.5168,203980
726432,HCM,20161028,5.5357,5.5751,5.516,5.5562,174840
726653,HCM,20161027,5.5062,5.5554,5.4766,5.5168,102520
726931,HCM,20161026,5.5751,5.5948,5.4963,5.507,389840
727188,HCM,20161025,5.5948,5.6047,5.5554,5.5759,218400
727431,HCM,20161024,5.6835,5.6835,5.5948,5.5956,485330
727707,HCM,20161021,5.7918,5.8509,5.6736,5.6843,500770
727996,HCM,20161020,5.713,5.8115,5.6933,5.6942,273410
728257,HCM,20161019,5.6539,5.7721,5.6342,5.6942,444340
728469,HCM,20161018,5.6145,5.6835,5.6145,5.635,238940
728780,HCM,20161017,5.6539,5.713,5.6342,5.635,247960
728993,HCM,20161014,5.7327,5.7327,5.6539,5.6548,222960
729266,HCM,20161013,5.6736,5.6835,5.6244,5.6843,294470
729518,HCM,20161012,5.6933,5.7327,5.6539,5.6548,148350
729809,HCM,20161011,5.713,5.713,5.6441,5.6942,433700
730078,HCM,20161010,5.713,5.7524,5.6736,5.6942,284330
730297,HCM,20161007,5.713,5.713,5.6539,5.7139,333550
730612,HCM,20161006,5.6933,5.7918,5.6539,5.6942,340140
730832,HCM,20161005,5.7426,5.7918,5.6933,5.6942,499670
731092,HCM,20161004,5.8115,5.8608,5.7327,5.7434,455920
731356,HCM,20161003,5.7918,5.8706,5.7918,5.7927,273870
731620,HCM,20160930,5.8706,5.8805,5.7918,5.7927,501400
731880,HCM,20160929,5.9297,5.9691,5.8509,5.8715,785890
732175,HCM,20160928,5.8312,5.9494,5.8312,5.9109,669650
732370,HCM,20160927,5.7918,5.8411,5.7623,5.8321,472290
732678,HCM,20160926,5.7918,5.8017,5.7327,5.773,286010
732903,HCM,20160923,5.7721,5.8706,5.7721,5.7927,515640
733177,HCM,20160922,5.7327,5.8214,5.713,5.773,864950
733398,HCM,20160921,5.6933,5.713,5.6638,5.6745,413160
733685,HCM,20160920,5.6933,5.7032,5.6145,5.6942,286050
733944,HCM,20160919,5.6736,5.713,5.6539,5.704,194250
734179,HCM,20160916,5.5948,5.6539,5.5948,5.635,294340
734429,HCM,20160915,5.6342,5.6835,5.5948,5.5956,584510
734747,HCM,20160914,5.6933,5.7327,5.6638,5.6646,352180
734968,HCM,20160913,5.782,5.8017,5.713,5.7139,397140
735215,HCM,20160912,5.9494,5.9494,5.782,5.7828,518310
735454,HCM,20160909,5.7918,5.9888,5.7918,5.9503,1058420
735717,HCM,20160908,5.713,5.8115,5.713,5.773,793690
735984,HCM,20160907,5.6933,5.713,5.6736,5.6942,215280
736254,HCM,20160906,5.713,5.7524,5.6933,5.6942,348030
736482,HCM,20160905,5.713,5.7327,5.6736,5.6745,274500
736760,HCM,20160901,5.713,5.7524,5.6736,5.7139,371150
736987,HCM,20160831,5.713,5.7721,5.6933,5.6942,317570
737292,HCM,20160830,5.6933,5.7524,5.6539,5.6942,216280
737543,HCM,20160829,5.7721,5.8509,5.6342,5.6548,436630
737833,HCM,20160826,5.6342,5.8312,5.6342,5.773,772140
738011,HCM,20160825,5.6342,5.6736,5.6145,5.6153,162460
738305,HCM,20160824,5.6736,5.6933,5.6145,5.635,223470
738543,HCM,20160823,5.6342,5.6539,5.5948,5.6153,255130
738778,HCM,20160822,5.6342,5.6736,5.5948,5.5956,278330
739097,HCM,20160819,5.713,5.713,5.6342,5.635,436820
739338,HCM,20160818,5.7327,5.7721,5.6736,5.6942,447130
739624,HCM,20160817,5.8115,5.8115,5.6736,5.7139,353210
739893,HCM,20160816,5.7721,5.8706,5.7721,5.773,583040
740111,HCM,20160815,5.6539,5.7327,5.6342,5.7336,406280
740361,HCM,20160812,5.8115,5.8312,5.6539,5.6548,622340
740604,HCM,20160811,5.7524,5.8115,5.6933,5.7533,452630
740932,HCM,20160810,5.6539,5.7524,5.6539,5.7533,439900
741177,HCM,20160809,5.5751,5.6736,5.5751,5.6548,494240
741424,HCM,20160808,5.6145,5.6539,5.5554,5.5956,270260
741667,HCM,20160805,5.5554,5.6145,5.4569,5.6153,869950
741916,HCM,20160804,5.8312,5.8312,5.6145,5.6153,594070
742211,HCM,20160803,5.713,5.8115,5.6933,5.7533,854680
742467,HCM,20160802,6.0282,6.0282,5.8706,5.8715,821840
742678,HCM,20160801,6.1464,6.2055,6.0676,6.0882,201670
742980,HCM,20160729,6.1267,6.2449,6.107,6.1473,643050
743217,HCM,20160728,6.0479,6.1661,6.0085,6.1079,541800
743472,HCM,20160727,6.0479,6.0873,6.0282,6.0488,319580
743746,HCM,20160726,6.0085,6.0479,5.9297,6.0094,395890
744035,HCM,20160725,6.0282,6.0873,5.9691,5.97,343990
744273,HCM,20160722,6.1267,6.1661,5.9691,6.0291,683460
744581,HCM,20160721,6.3237,6.3631,6.1267,6.1276,764640
744795,HCM,20160720,6.4025,6.4616,6.2646,6.2852,1038750
745062,HCM,20160719,6.5601,6.6389,6.3434,6.4626,743650
745307,HCM,20160718,6.304,6.4813,6.304,6.4823,545820
745605,HCM,20160715,6.304,6.4419,6.2843,6.305,625960
745844,HCM,20160714,6.5601,6.6192,6.304,6.3247,1179510
746115,HCM,20160713,6.6783,6.7177,6.5798,6.5808,1100850
746406,HCM,20160712,6.501,6.5601,6.3434,6.5414,1102990
746567,HCM,20160711,6.6783,6.7965,6.4025,6.4429,1376170
746895,HCM,20160708,6.6783,6.8162,6.6192,6.6202,1768470
747123,HCM,20160707,6.6192,6.7177,6.5601,6.6399,958300
747422,HCM,20160706,6.501,6.6389,6.4616,6.6005,1094260
747674,HCM,20160705,6.5995,6.7177,6.5601,6.6005,2757490
747974,HCM,20160704,6.0479,6.3434,6.0479,6.3444,1731110
748219,HCM,20160701,5.8903,6.0282,5.8903,5.9306,615580
748460,HCM,20160630,5.9888,6.0479,5.8903,5.8912,682460
748747,HCM,20160629,5.8706,5.9888,5.8706,5.9897,582220
748966,HCM,20160628,5.8312,5.8706,5.7721,5.8518,480050
749220,HCM,20160627,5.8706,5.9297,5.7524,5.8518,435060
749485,HCM,20160624,6.1858,6.1858,5.7918,5.9306,2500720
749755,HCM,20160623,6.2449,6.2449,6.1858,6.2261,632770
750067,HCM,20160622,6.2252,6.304,6.2252,6.2261,435260
750285,HCM,20160621,6.2252,6.3434,6.2055,6.2458,1041770
750545,HCM,20160620,6.2646,6.2646,6.1464,6.1867,494090
750824,HCM,20160617,6.2252,6.2252,6.107,6.1473,1089320
751069,HCM,20160616,6.2646,6.3828,6.2449,6.2458,1056160
751299,HCM,20160615,6.2252,6.2843,6.1858,6.2655,565710
751582,HCM,20160614,6.2449,6.2843,6.1858,6.2655,987260
751831,HCM,20160613,6.3631,6.3828,6.2449,6.2852,725010
752086,HCM,20160610,6.304,6.4419,6.304,6.4035,1047490
752329,HCM,20160609,6.2252,6.4419,6.1858,6.305,1575970
752634,HCM,20160608,6.2843,6.3631,6.2252,6.2261,708270
752866,HCM,20160607,6.1464,6.2252,6.0873,6.2261,653250
753121,HCM,20160606,6.2252,6.2646,6.0676,6.0685,1589020
753382,HCM,20160603,6.304,6.3828,6.2252,6.2261,800550
753610,HCM,20160602,6.2055,6.2843,6.1858,6.2458,604290
753848,HCM,20160601,6.2055,6.3828,6.2055,6.2458,1472580
754133,HCM,20160531,6.1858,6.2843,6.107,6.2064,885470
754379,HCM,20160530,6.107,6.2646,6.107,6.1867,1480970
754633,HCM,20160527,5.8115,5.9888,5.7918,5.97,1039530
754914,HCM,20160526,5.8903,5.9691,5.8115,5.8124,634040
755170,HCM,20160525,5.713,6.0085,5.713,5.8715,2205130
755414,HCM,20160524,5.6539,5.6933,5.6342,5.6745,210780
755676,HCM,20160523,5.713,5.713,5.6342,5.6548,162610
755917,HCM,20160520,5.713,5.7327,5.6736,5.6942,237590
756168,HCM,20160519,5.713,5.7327,5.6539,5.6942,226850
756444,HCM,20160518,5.7524,5.7721,5.6933,5.7139,507590
756701,HCM,20160517,5.713,5.7524,5.6342,5.6942,546130
756964,HCM,20160516,5.5751,5.6933,5.5751,5.6548,317240
757203,HCM,20160513,5.6736,5.6933,5.5751,5.5956,513330
757457,HCM,20160512,5.6539,5.7721,5.6539,5.6548,247740
757716,HCM,20160511,5.6736,5.713,5.5948,5.6548,511820
757981,HCM,20160510,5.6736,5.7327,5.6539,5.6745,399610
758240,HCM,20160509,5.8509,5.8509,5.713,5.7139,617480
758518,HCM,20160506,5.6697,5.8034,5.6506,5.7277,968700
758739,HCM,20160505,5.6506,5.727,5.6125,5.6513,352210
759002,HCM,20160504,5.5552,5.6697,5.4979,5.594,423860
759290,HCM,20160429,5.5361,5.5934,5.5361,5.5558,271540
759517,HCM,20160428,5.6697,5.6697,5.5552,5.5749,505660
759808,HCM,20160427,5.727,5.7652,5.6125,5.6322,393020
760024,HCM,20160426,5.7652,5.7652,5.6697,5.7086,427190
760281,HCM,20160425,5.7652,5.8034,5.6888,5.7658,682070
760576,HCM,20160422,5.6125,5.6697,5.5743,5.6513,627810
760798,HCM,20160421,5.5934,5.6888,5.5552,5.6131,379400
761045,HCM,20160420,5.5361,5.5743,5.4597,5.4985,725810
761304,HCM,20160419,5.7652,5.7652,5.4979,5.4985,913290
761580,HCM,20160415,5.8415,5.8988,5.7843,5.7849,424650
761880,HCM,20160414,5.8606,5.8988,5.8415,5.8422,369040
762065,HCM,20160413,5.8606,6.0134,5.8225,5.8613,593740
762358,HCM,20160412,5.7843,5.9561,5.7652,5.8995,750210
762587,HCM,20160411,5.6506,5.7652,5.6506,5.7658,636760
762872,HCM,20160408,5.6888,5.6888,5.6316,5.6322,367340
763123,HCM,20160407,5.6888,5.7461,5.6506,5.6704,554710
763356,HCM,20160406,5.6697,5.7079,5.5934,5.6513,334230
763615,HCM,20160405,5.517,5.6316,5.4979,5.6322,380130
763880,HCM,20160404,5.5361,5.6125,5.4979,5.5176,245550
764110,HCM,20160401,5.4979,5.5743,5.4597,5.5749,529230
764368,HCM,20160331,5.6506,5.7079,5.5361,5.5367,608430
764629,HCM,20160330,5.6697,5.7843,5.5934,5.6513,638530
764865,HCM,20160329,5.9561,5.9561,5.6316,5.6704,696360
765140,HCM,20160328,5.937,5.9752,5.8797,5.8995,308780
765362,HCM,20160325,6.0134,6.0515,5.8797,5.9186,812870
765631,HCM,20160324,6.1088,6.1852,6.0324,6.0331,568490
765904,HCM,20160323,6.0324,6.1279,5.9752,6.1095,670830
766172,HCM,20160322,6.0897,6.1088,5.9752,6.0331,778360
766434,HCM,20160321,6.2233,6.2424,6.0897,6.0904,519330
766710,HCM,20160318,6.1088,6.2806,6.1088,6.1859,1383600
766962,HCM,20160317,6.0706,6.2615,6.0706,6.0713,559320
767200,HCM,20160316,6.0134,6.147,5.9943,6.1095,503290
767463,HCM,20160315,6.1088,6.2424,6.0515,6.0522,739730
767708,HCM,20160314,6.2043,6.2233,6.1279,6.1477,382410
767978,HCM,20160311,6.2806,6.2997,6.1661,6.1859,509330
768227,HCM,20160310,6.0134,6.2806,6.0134,6.2813,1122780
768477,HCM,20160309,5.9561,6.0897,5.9561,6.014,370340
768719,HCM,20160308,6.0515,6.1088,5.9752,5.9759,497910
768963,HCM,20160307,6.0515,6.2424,6.0515,6.0522,659300
769248,HCM,20160304,6.1088,6.147,6.0515,6.0904,484880
769497,HCM,20160303,6.1088,6.2615,6.0515,6.1095,734190
769790,HCM,20160302,6.2424,6.3379,6.1852,6.1859,727680
769971,HCM,20160301,6.1279,6.2615,6.1088,6.1668,781920
770273,HCM,20160229,6.1088,6.2806,6.0897,6.1668,793220
770506,HCM,20160226,5.9943,6.1279,5.9179,6.1095,1048840
770721,HCM,20160225,6.1088,6.1279,5.8797,5.8995,1125940
771007,HCM,20160224,5.6888,6.1088,5.6697,6.1095,1029490
771265,HCM,20160223,5.7652,5.8415,5.6316,5.7277,1193030
771490,HCM,20160222,5.2307,5.5934,5.2307,5.594,1585290
771783,HCM,20160219,5.2879,5.307,5.2307,5.2313,167560
772017,HCM,20160218,5.2879,5.307,5.2688,5.2885,292550
772258,HCM,20160217,5.2688,5.3261,5.2498,5.2694,449510
772513,HCM,20160216,5.2498,5.307,5.2498,5.2694,262450
772730,HCM,20160215,5.2688,5.307,5.2307,5.2503,117400
772986,HCM,20160205,5.2879,5.3643,5.2688,5.3267,228470
773234,HCM,20160204,5.2879,5.3261,5.2498,5.2503,132780
773462,HCM,20160203,5.1543,5.307,5.1352,5.2885,104030
773741,HCM,20160202,5.2307,5.2688,5.2116,5.2122,229960
773913,HCM,20160201,5.3452,5.4025,5.2688,5.2694,231320
774199,HCM,20160129,5.2688,5.3452,5.2498,5.3076,303080
774447,HCM,20160128,5.3452,5.3834,5.2688,5.2694,294280
774672,HCM,20160127,5.3452,5.3834,5.3261,5.3458,373870
774904,HCM,20160126,5.2498,5.4025,5.2498,5.2503,509110
775144,HCM,20160125,5.0589,5.4025,5.0589,5.4031,767660
775388,HCM,20160122,5.0207,5.097,4.9061,5.0594,450170
775653,HCM,20160121,5.0207,5.0779,4.868,4.9449,542850
775872,HCM,20160120,5.097,5.2116,5.0589,5.0594,301330
776121,HCM,20160119,4.9825,5.1543,4.9634,5.1549,418270
776372,HCM,20160118,5.097,5.097,4.8489,4.9258,742600
776649,HCM,20160115,5.2307,5.3261,5.1543,5.1931,340440
776853,HCM,20160114,5.2498,5.3261,5.1543,5.2503,428860
777127,HCM,20160113,5.5361,5.5552,5.3452,5.3458,656000
777347,HCM,20160112,5.0779,5.4025,5.0779,5.4031,517320
777575,HCM,20160111,4.9825,5.097,4.9825,5.0785,285910
777851,HCM,20160108,5.1543,5.1543,4.9443,5.0212,544000
778071,HCM,20160107,5.4979,5.4979,5.1734,5.174,704050
778299,HCM,20160106,5.5934,5.6316,5.4788,5.5367,550560
778542,HCM,20160105,5.727,5.727,5.6316,5.6322,341990
778831,HCM,20160104,5.727,5.8988,5.727,5.7277,242690
779085,HCM,20151231,5.8797,5.9179,5.8225,5.8804,164230
779348,HCM,20151230,5.8988,5.9752,5.8988,5.8995,292580
779573,HCM,20151229,5.7461,5.9179,5.7079,5.8613,236790
779811,HCM,20151228,5.6888,5.727,5.6888,5.7086,195800
780038,HCM,20151225,5.727,5.7843,5.6697,5.6704,302620
780317,HCM,20151224,5.7843,5.8225,5.7652,5.7658,72040
780562,HCM,20151223,5.8797,5.8988,5.7461,5.7849,287580
780822,HCM,20151222,6.0134,6.0324,5.8415,5.8422,215720
781062,HCM,20151221,5.9564,6.0128,5.9189,5.9566,98690
781314,HCM,20151218,6.0128,6.0692,5.994,5.9942,211510
781542,HCM,20151217,6.088,6.1068,6.0316,6.0505,196650
781792,HCM,20151216,6.0316,6.0504,6.0128,6.013,281020
782090,HCM,20151215,5.9001,6.0128,5.9001,5.9942,175920
782262,HCM,20151214,5.9001,5.9001,5.8625,5.9002,91760
782537,HCM,20151211,5.9001,5.9376,5.8249,5.8626,202770
782803,HCM,20151210,5.8813,5.9752,5.8625,5.8626,244490
783043,HCM,20151209,6.0692,6.0692,5.9001,5.9002,168540
783345,HCM,20151208,5.9189,6.0692,5.8813,6.0318,226750
783576,HCM,20151207,6.0128,6.0692,5.9376,5.9378,154900
783756,HCM,20151204,6.0504,6.0692,5.994,6.013,187850
784077,HCM,20151203,6.0128,6.1443,5.994,6.0505,467880
784309,HCM,20151202,6.0128,6.1068,5.9376,6.013,274820
784530,HCM,20151201,5.9564,6.0692,5.9189,5.9566,230310
784796,HCM,20151130,6.1068,6.1068,5.9564,5.9566,552200
785035,HCM,20151127,6.351,6.351,6.1443,6.1445,550870
785292,HCM,20151126,6.4638,6.5013,6.3134,6.3324,384070
785560,HCM,20151125,6.445,6.5201,6.4074,6.4827,205540
785824,HCM,20151124,6.5577,6.5953,6.4638,6.5203,312270
786044,HCM,20151123,6.4074,6.6141,6.4074,6.5391,881870
786320,HCM,20151120,6.351,6.3886,6.3322,6.3888,315360
786524,HCM,20151119,6.445,6.445,6.351,6.3512,243650
786841,HCM,20151118,6.4826,6.5013,6.4262,6.4264,225630
787092,HCM,20151117,6.4826,6.5389,6.4638,6.4827,153080
787337,HCM,20151116,6.4638,6.5577,6.445,6.4639,200030
787573,HCM,20151113,6.3698,6.5013,6.3698,6.4451,416290
787829,HCM,20151112,6.4826,6.5013,6.3322,6.37,648270
788081,HCM,20151111,6.5201,6.5953,6.4826,6.5015,333060
788341,HCM,20151110,6.6141,6.6705,6.5389,6.5391,286790
788632,HCM,20151109,6.6517,6.6892,6.6329,6.6331,205270
788859,HCM,20151106,6.7456,6.7644,6.6705,6.6706,316240
789121,HCM,20151105,6.6705,6.7456,6.6705,6.7082,147830
789368,HCM,20151104,6.7644,6.8396,6.6892,6.6894,364570
789611,HCM,20151103,6.6705,6.7644,6.6517,6.727,268670
789841,HCM,20151102,6.7268,6.7456,6.6705,6.6894,337900
790082,HCM,20151030,6.8584,6.8584,6.7268,6.727,482370
790375,HCM,20151029,6.7456,6.8584,6.6892,6.8022,405940
790597,HCM,20151028,6.8208,6.8208,6.6705,6.6894,510030
790843,HCM,20151027,6.802,6.8396,6.7644,6.7834,293310
791131,HCM,20151026,6.8771,6.8771,6.7832,6.7834,511190
791358,HCM,20151023,6.9523,6.9523,6.8584,6.8773,437750
791670,HCM,20151022,6.7268,6.9523,6.7268,6.9525,610780
791906,HCM,20151021,6.7832,6.8584,6.7456,6.7458,1510410
792125,HCM,20151020,6.9147,6.9335,6.8396,6.8773,897450
792367,HCM,20151019,7.065,7.065,6.9523,6.9525,1380880
792637,HCM,20151016,7.065,7.2154,7.065,7.0652,531060
792892,HCM,20151015,7.159,7.1778,7.1214,7.1404,463020
793136,HCM,20151014,7.159,7.2342,7.1402,7.1592,600150
793383,HCM,20151013,7.1778,7.2342,7.1214,7.1592,768010
793617,HCM,20151012,7.065,7.2905,7.065,7.2156,1901730
793849,HCM,20151009,7.065,7.1214,7.0275,7.0464,742860
794127,HCM,20151008,6.9711,7.1026,6.9711,7.0464,628300
794414,HCM,20151007,7.1778,7.1778,6.9711,6.9713,1009100
794644,HCM,20151006,6.9899,7.1966,6.9335,7.178,1292010
794895,HCM,20151005,6.7644,6.9147,6.7644,6.8585,443490
795135,HCM,20151002,6.8584,6.8584,6.7644,6.7646,202460
795375,HCM,20151001,6.8584,6.9147,6.8208,6.821,415830
795612,HCM,20150930,6.8396,6.8584,6.802,6.8022,301790
795838,HCM,20150929,6.8208,6.8208,6.7456,6.8022,536340
796111,HCM,20150928,6.8959,6.9523,6.8396,6.8585,251880
796332,HCM,20150925,6.9147,6.9899,6.8584,6.8961,619020
796540,HCM,20150924,6.9711,7.0275,6.9523,6.9713,359910
796799,HCM,20150923,6.9899,7.0087,6.9523,6.9713,443390
797072,HCM,20150922,7.065,7.0838,6.9711,6.9901,362280
797304,HCM,20150921,7.0463,7.0838,6.9147,7.0464,504460
797550,HCM,20150918,6.9147,6.9899,6.8959,6.9525,565420
797810,HCM,20150917,6.8584,6.8584,6.7832,6.7834,293670
798072,HCM,20150916,6.802,6.8771,6.7832,6.7834,457090
798301,HCM,20150915,6.708,6.8771,6.708,6.8022,795060
798547,HCM,20150914,6.9147,6.9523,6.7456,6.7458,805230
798728,HCM,20150911,7.0275,7.065,6.9335,6.9337,555930
799016,HCM,20150910,6.9711,7.1402,6.9711,7.0277,706580
799218,HCM,20150909,7.1402,7.159,7.0463,7.0464,418400
799516,HCM,20150908,6.8584,7.0838,6.8396,7.084,872450
799727,HCM,20150907,6.9899,7.1026,6.9147,6.9525,644840
799968,HCM,20150904,7.0463,7.1026,6.9899,7.0089,938900
800221,HCM,20150903,7.2342,7.2905,6.9523,7.0089,1873450
800510,HCM,20150901,7.4784,7.4972,7.2529,7.3095,981400
800764,HCM,20150831,7.4972,7.5912,7.4408,7.4786,1415350
800976,HCM,20150828,7.1026,7.5348,7.1026,7.4598,2613760
801235,HCM,20150827,7.159,7.1778,7.065,7.1028,1096620
801455,HCM,20150826,6.802,7.159,6.802,7.084,976650
801743,HCM,20150825,6.6329,6.9711,6.6329,6.7834,1610310
801996,HCM,20150824,7.0838,7.1966,6.8208,6.821,2140650
802249,HCM,20150821,7.065,7.3281,7.0463,7.3283,1580540
802499,HCM,20150820,7.61,7.7603,7.3281,7.3283,2011940
802738,HCM,20150819,7.159,7.6663,7.1026,7.6665,2108120
802951,HCM,20150818,7.159,7.2529,7.1026,7.1968,858770
