,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
56842,HCM,20230925,22.2304,22.2999,20.5979,20.5979,10370300
57409,HCM,20230922,22.9251,23.1335,22.1262,22.1262,12454700
57983,HCM,20230921,24.5194,24.5194,23.7553,23.7587,10239300
58554,HCM,20230920,24.2415,24.6583,24.1721,24.5229,6012500
59122,HCM,20230919,24.2798,24.2798,23.7587,24.0714,6549800
59689,HCM,20230918,23.8248,24.2415,23.6164,24.0366,5658300
60250,HCM,20230915,23.9637,24.2068,23.6164,23.9324,6456300
60811,HCM,20230914,24.6271,24.8355,23.7935,23.7935,9379100
61383,HCM,20230913,24.9397,25.1134,24.3145,24.5924,7666300
61949,HCM,20230912,23.6198,24.9397,23.5156,24.905,10655700
62520,HCM,20230911,23.8282,24.1756,23.5156,23.5851,10502500
63084,HCM,20230908,23.2725,23.8977,23.203,23.6198,7059900
63656,HCM,20230907,23.7587,23.7935,23.203,23.3072,9409600
64228,HCM,20230906,23.2691,24.2763,23.026,23.6545,8499000
64789,HCM,20230905,22.8904,23.5851,22.7167,23.2725,14784300
65346,HCM,20230831,22.9251,23.2377,22.682,22.7167,7648600
65912,HCM,20230830,21.4315,22.7167,21.2578,22.7167,13793500
66481,HCM,20230829,21.1506,21.5326,20.9769,21.2578,7375900
67044,HCM,20230828,21.0117,21.0464,20.7338,20.9799,6371600
67599,HCM,20230825,20.6296,21.1506,20.5254,20.7715,5319200
68127,HCM,20230824,20.0392,20.6644,19.9003,20.6673,5737700
68654,HCM,20230823,20.4937,20.4937,19.9032,20.0421,3203400
69182,HCM,20230822,19.8308,20.2823,18.8237,20.2852,7545500
69703,HCM,20230821,19.935,20.1087,19.4835,19.7989,5737500
70230,HCM,20230818,21.1189,21.1884,19.7295,19.7295,9040600
70759,HCM,20230817,21.1884,21.8136,21.1536,21.1884,9451000
71284,HCM,20230816,20.9422,21.1158,20.7685,21.0494,3121400
71814,HCM,20230815,21.3242,21.4284,20.8727,20.9452,3845800
72349,HCM,20230814,20.7715,21.4315,20.4937,21.2926,8766400
72875,HCM,20230811,20.8063,20.841,20.2158,20.4937,6797800
73403,HCM,20230810,21.2578,21.3273,20.7368,20.7368,5267900
73935,HCM,20230809,21.6052,21.7441,21.2231,21.2231,4930600
74473,HCM,20230808,21.8799,22.1925,21.6368,21.6746,5763000
75010,HCM,20230807,21.2895,21.741,21.1853,21.7441,6836200
